unit  language  isced11  geo\time  2019  2018  2017  2016  2015  2014  2013  2012
NR  ARA  ED3  RS :  0  0  0  0  0 : :
NR  ARA  ED3  SE  749  650  554  529  542  435  1131 :
NR  ARA  ED3  SI  0  0  0  0  0  0  0 :
NR  ARA  ED3  SK  0  0  0  0  0  0  0 :
NR  ARA  ED34  AT  55  78  94  105  113  161  215  157
NR  ARA  ED34  BE  0  0  0  0  0  0  0 :
NR  ARA  ED34  BE_FRA  :  :  :  :  :  :  : :
NR  ARA  ED34  BE_VLA  0  0  0  0  0  0  0 :
NR  ARA  ED34  BG  0  0  0  0  0  0  0 :
NR  ARA  ED34  CY  0  0  0  0  0  0  6 :
NR  ARA  ED34  CZ  0  1  2  0  0  0  0 :
NR  ARA  ED34  DE  0  0  0  0  0  0  0  0
NR  ARA  ED34  DK  260  507  508  382  392  392  309  0
NR  ARA  ED34  EE  0  0  0  0  0  0  0 :
NR  ARA  ED34  EL  :  :  :  :  :  :  : :
NR  ARA  ED34  ES  69  100  11  76  97  78  87 :
NR  ARA  ED34  EU27_2020  11491  10066  10162  8318  7869 : : :
NR  ARA  ED34  EU28  21622.7  20315.4  21647 : : : : :
NR  ARA  ED34  FI  :  :  :  :  :  :  : :
NR  ARA  ED34  FR  8595  8395  7945  6412  6045  4866  4920 :
NR  ARA  ED34  HR  0  0  0  0  0  0  0  0
NR  ARA  ED34  HU  1  74  0  0  0  0  16  60
NR  ARA  ED34  IE  130  101  17  9  13  561  336  128
NR  ARA  ED34  IS  0  0  0  0  0  0  20 :
NR  ARA  ED34  IT  715  0  617  577  501  403  706 :
NR  ARA  ED34  LI  0  0  0  0  0  0 : :
NR  ARA  ED34  LT  0  0  0  0  0  0  0 :
NR  ARA  ED34  LU  0  0  0  0  0  0  0 :
NR  ARA  ED34  LV  0  6  8  5  8  6  7  0
NR  ARA  ED34  MK  0  0  0  0  0  0 : :
NR  ARA  ED34  MT  55  51  84  73  66  59  79 :
NR  ARA  ED34  NL  :  :  :  :  :  :  0 :
NR  ARA  ED34  NO  62  33  28  22  26  28  56 :
NR  ARA  ED34  PL  910  150  370  211  179  :  : :
NR  ARA  ED34  PT  0  0  0  0  0  0  0  0
NR  ARA  ED34  RO  0  0  0  0  0  0  0  0
NR  ARA  ED34  RS :  0  0  0  0  0  0 :
NR  ARA  ED34  SE  701  603  506  468  455  375  903 :
NR  ARA  ED34  SI  0  0  0  0  0  0  0 :
NR  ARA  ED34  SK  0  0  0  0  0  0  0 :
NR  ARA  ED34  UK  10131.7  10249.4  11485  7000 : : : :
NR  ARA  ED35  AT  116  101  125  164  135  153  118  131
NR  ARA  ED35  BE  0  0  0  0  0  0  0 :
NR  ARA  ED35  BE_FRA  :  :  :  :  :  :  : :
NR  ARA  ED35  BE_VLA  0  0  0  0  0  0  0 :
NR  ARA  ED35  BG  0  0  0  0  0  0  0 :
NR  ARA  ED35  CY  0  0  0  0  0  0  0 :
NR  ARA  ED35  CZ  0  0  0  0  0  0  2 :
NR  ARA  ED35  DE  0  0  0  0  0  0  0  0
NR  ARA  ED35  DK  :  :  :  : :  :  :  0
NR  ARA  ED35  EE  0  0  0  0  0  0  0 :
NR  ARA  ED35  EL  :  :  :  :  :  :  : :
NR  ARA  ED35  ES  0  0  0  0  1  1  0 :
NR  ARA  ED35  EU27_2020  371  1144  653  412  736 : : :
NR  ARA  ED35  FI  :  :  :  :  :  :  : :
NR  ARA  ED35  FR  155  131  139  143  189  138  166 :
NR  ARA  ED35  HR  0  0  0  0  0  0  0  0
NR  ARA  ED35  HU  0  49  0  31  0  0  48  9
NR  ARA  ED35  IE : : : : : :  :  2
NR  ARA  ED35  IS  0  0  0  0  0  0  0 :
NR  ARA  ED35  IT  49  0  33  12  47  45  45 :
NR  ARA  ED35  LI  0  :  :  :  :  : : :
NR  ARA  ED35  LT  0  0  0  0  0  0  0 :
NR  ARA  ED35  LU  0  0  0  0  0  0  0 :
NR  ARA  ED35  LV  0  0  0  0  0  0  0  0
NR  ARA  ED35  MK  0  0  0  0  0  0 : :
NR  ARA  ED35  MT  3  4  5  1  0  0  0 :
NR  ARA  ED35  NL  :  :  :  :  :  :  0 :
NR  ARA  ED35  NO  0  0  0  0  0  0  0 :
NR  ARA  ED35  PL  0  812  303  0  277  :  : :
NR  ARA  ED35  PT  0  0  0  0  0  0  0  0
NR  ARA  ED35  RO  0  0  0  0  0  0  0  0
NR  ARA  ED35  RS :  0  0  0  0  0  0 :
NR  ARA  ED35  SE  48  47  48  61  87  60  228 :
NR  ARA  ED35  SI  0  0  0  0  0  0  0 :
NR  ARA  ED35  SK  0  0  0  0  0  0  0 :
NR  BUL  ED1  AT  0  0  0  0  0  0  0  0
NR  BUL  ED1  BE  0  0  0  0  0  0  0 :
NR  BUL  ED1  BE_FRA  :  :  :  :  :  :  : :
NR  BUL  ED1  BE_VLA  0  0  0  0  0  0  0 :
NR  BUL  ED1  BG  :  :  :  :  0  :  : :
NR  BUL  ED1  CY  0  0  0  0  0  0  0 :
NR  BUL  ED1  CZ  0  0  0  0  0  0  0 :
NR  BUL  ED1  DE  0  0  0  0  0  0  0  0
NR  BUL  ED1  DK  :  :  :  : :  :  :  0
NR  BUL  ED1  EE  0  0  0  0  0  0  0 :
NR  BUL  ED1  EL  :  :  :  :  :  :  : :
NR  BUL  ED1  ES  0  0  0  0  0  0  0 :
NR  BUL  ED1  EU27_2020  54  48  217 : : : : :
NR  BUL  ED1  EU28 :  48 : : : : : :
NR  BUL  ED1  FI  :  :  :  :  :  :  : :
NR  BUL  ED1  FR  2  0  0  :  :  :  : :
NR  BUL  ED1  HR  0  0  0  0  0  0  0  0
NR  BUL  ED1  HU  0  0  175  86  35  50  56  35
NR  BUL  ED1  IE  :  :  :  :  :  : :  0
NR  BUL  ED1  IS  0  0  0  0  0  0  0 :
NR  BUL  ED1  IT  0  0  0  0  0  0  0 :
NR  BUL  ED1  LI  0  0  0  0  0  0 : :
NR  BUL  ED1  LT  0  0  0  0  0  0  0 :
NR  BUL  ED1  LU  0  0  0  0  0  0  0 :
NR  BUL  ED1  LV  0  0  0  0  0  0  0  0
NR  BUL  ED1  MK  0  0  0  0  0  0  0 :
NR  BUL  ED1  MT  0  0  0  0  0  0  0 :
NR  BUL  ED1  NL  :  :  :  :  : :  0 :
NR  BUL  ED1  NO  0  0  0  0  0  0  0 :
NR  BUL  ED1  PL  0  0  0  :  :  :  : :
NR  BUL  ED1  PT  0  0  0  0  0  0  0  0
NR  BUL  ED1  RO  0  0  0  0  0  0  0  0
NR  BUL  ED1  RS :  0  0  0  0  0  0 :
NR  BUL  ED1  SE  0  0  0  0  0  0  0 :
NR  BUL  ED1  SI  0  0  0  0  0  0  0 :
NR  BUL  ED1  SK  52  48  42  31  39  44  34 :
NR  BUL  ED2  AT  0  0  0  0  0  0  0  0
NR  BUL  ED2  BE  0  0  0  0  0  0  0 :
NR  BUL  ED2  BE_FRA  :  :  :  :  :  :  : :
NR  BUL  ED2  BE_VLA  0  0  0  0  0  0  0 :
NR  BUL  ED2  BG  :  :  :  :  0  :  : :
NR  BUL  ED2  CY  0  0  0  0  0  0  0 :
NR  BUL  ED2  CZ  0  0  0  0  0  0  0 :
NR  BUL  ED2  DE  0  0  0  0  0  0  0  0
NR  BUL  ED2  DK  :  :  :  : :  :  :  0
NR  BUL  ED2  EE  0  0  0  0  0  0  0 :
NR  BUL  ED2  EL  :  :  :  :  :  :  : :
NR  BUL  ED2  ES  0  0  0  0  0  0  0 :
NR  BUL  ED2  EU27_2020  32  36  179 : : : : :
NR  BUL  ED2  EU28 :  36 : : : : : :
NR  BUL  ED2  FI  :  :  :  :  :  :  : :
NR  BUL  ED2  FR  0  0  1  :  :  :  : :
NR  BUL  ED2  HR  0  0  0  0  0  0  0  0
NR  BUL  ED2  HU  0  0  144  66  26  50  24  6
NR  BUL  ED2  IE  0  0  0  0  0  0  0  0
NR  BUL  ED2  IS  0  0  0  0  0  0  0 :
NR  BUL  ED2  IT  0  0  0  0  0  0  0 :
NR  BUL  ED2  LI  0  0  0  0  0  0 : :
NR  BUL  ED2  LT  0  0  0  0  0  0  0 :
NR  BUL  ED2  LU  0  0  0  0  0  0  0 :
NR  BUL  ED2  LV  0  0  0  0  0  0  0  0
NR  BUL  ED2  MK  0  0  0  0  0  0  0 :
NR  BUL  ED2  MT  0  0  0  0  0  0  0 :
NR  BUL  ED2  NL  :  :  :  :  :  :  0 :
NR  BUL  ED2  NO  0  0  0  0  0  0  0 :
NR  BUL  ED2  PL  0  0  0  :  :  :  : :
NR  BUL  ED2  PT  0  0  0  0  0  0  0  0
NR  BUL  ED2  RO  0  0  0  0  0  0  0  0
NR  BUL  ED2  RS :  0  0  0  0  0  0 :
NR  BUL  ED2  SE  0  0  0  0  0  0  0 :
NR  BUL  ED2  SI  0  0  0  0  0  0  0 :
NR  BUL  ED2  SK  32  36  34  32  19  17  14 :
NR  BUL  ED3  AT  0  0  0  0  0  0  0  0
NR  BUL  ED3  BE  0  0  0  0  0  0  0 :
NR  BUL  ED3  BE_FRA  :  :  :  :  :  :  : :
NR  BUL  ED3  BE_VLA  0  0  0  0  0  0  0 :
NR  BUL  ED3  BG  :  :  :  :  0  :  : :
NR  BUL  ED3  CY  0  0  0  0  0  0  0 :
NR  BUL  ED3  CZ  0  0  0  0  0  0  0 :
NR  BUL  ED3  DE  0  0  0  0  0  0  0  0
NR  BUL  ED3  DK  :  :  :  : :  :  :  0
NR  BUL  ED3  EE  0  0  0  0  0  0  0 :
NR  BUL  ED3  EL  :  :  :  :  :  :  : :
NR  BUL  ED3  ES  0  0  0  0  0  0  0 :
NR  BUL  ED3  EU27_2020  30  45  44 : : : : :
NR  BUL  ED3  EU28 :  45 : : : : : :
NR  BUL  ED3  FI  :  :  :  :  :  :  : :
NR  BUL  ED3  FR  1  1  1  :  :  :  : :
NR  BUL  ED3  HR  0  0  0  0  0  0  0  0
NR  BUL  ED3  HU  0  1  12  14  18  36  44  22
NR  BUL  ED3  IE : : : : : :  2  1
NR  BUL  ED3  IS  0  0  0  0  0  0  0 :
NR  BUL  ED3  IT  0  0  0  0  0  0  0 :
NR  BUL  ED3  LI  0  0  0  0  0  0 : :
NR  BUL  ED3  LT  0  0  0  0  0  0  0 :
NR  BUL  ED3  LU  0  0  0  0  0  0  0 :
NR  BUL  ED3  LV  0  0  0  0  0  0  0  0
NR  BUL  ED3  MK  0  0  0  0  0  0  0 :
NR  BUL  ED3  MT  0  0  7  1  0  0  0 :
NR  BUL  ED3  NL  :  :  :  :  :  :  0 :
NR  BUL  ED3  NO  0  0  0  0  0  0  0 :
NR  BUL  ED3  PL  0  0  0  :  :  :  : :
NR  BUL  ED3  PT  0  0  0  0  0  0  0  0
NR  BUL  ED3  RO  0  0  0  0  0  0  0  0
NR  BUL  ED3  RS :  0  0  0  0  0 : :
NR  BUL  ED3  SE  0  0  0  0  0  0  0 :
NR  BUL  ED3  SI  0  0  0  0  0  0  0 :
NR  BUL  ED3  SK  29  43  24  17  40  35  34 :
NR  BUL  ED34  AT  0  0  0  0  0  0  0  0
NR  BUL  ED34  BE  0  0  0  0  0  0  0 :
NR  BUL  ED34  BE_FRA  :  :  :  :  :  :  : :
NR  BUL  ED34  BE_VLA  0  0  0  0  0  0  0 :
NR  BUL  ED34  BG  :  :  :  :  0  :  : :
NR  BUL  ED34  CY  0  0  0  0  0  0  0 :
NR  BUL  ED34  CZ  0  0  0  0  0  0  0 :
NR  BUL  ED34  DE  0  0  0  0  0  0  0  0
NR  BUL  ED34  DK  :  :  :  : :  :  :  0
NR  BUL  ED34  EE  0  0  0  0  0  0  0 :
NR  BUL  ED34  EL  :  :  :  :  :  :  : :
NR  BUL  ED34  ES  0  0  0  0  0  0  0 :
NR  BUL  ED34  EU27_2020  30  49  47 : : : : :
NR  BUL  ED34  EU28  30  49  47 : : : : :
NR  BUL  ED34  FI  :  :  :  :  :  :  : :
NR  BUL  ED34  FR  1  1  1  :  :  :  : :
NR  BUL  ED34  HR  0  0  0  0  0  0  0  0
NR  BUL  ED34  HU  0  1  12  14  18  36  44  22
NR  BUL  ED34  IE  0  4  3  4  1  1  2  0
NR  BUL  ED34  IS  0  0  0  0  0  0  0 :
